rule,step,n,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
"ArtSphere: hard close, ladder cap 50",0.001,2,0.04837,0.00025,0.79019,0.00808,0.0,0.0,0.0002,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.8982,0.00838,1.0,0.0,-0.28378,0.00646,-0.20981,0.00808,0.0,0.23414,,
"hard close, no cap",0.001,2,0.33214,0.00655,1.0,0.0,0.0,0.0,0.0002,0.00028,0.0002,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16535,,
"ArtSphere: hard close, ladder cap 50",0.001,4,0.14753,0.00033,0.82898,0.00525,0.0,0.0,0.00045,0.00029,0.0004,0.00055,0.0,0.0,0.0,0.0,0.998,0.00124,1.0,0.0,-0.44958,0.0055,-0.17075,0.00524,0.0,0.12778,,
"hard close, no cap",0.001,4,0.59711,0.00557,0.99973,0.00037,0.0,0.0,0.00045,0.00029,0.0006,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04967,,
"ArtSphere: hard close, ladder cap 50",0.001,8,0.34726,0.00035,0.89264,0.00306,0.0,0.0,0.00055,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.4275,0.00362,-0.10732,0.00306,0.0,0.05554,,
"hard close, no cap",0.001,8,0.77476,0.00365,0.99996,7e-05,0.0,0.0,0.00055,0.00023,0.0016,0.00111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01406,,
"ArtSphere: hard close, ladder cap 50",0.0025,2,0.11155,0.00093,0.84816,0.00671,0.0,0.0,0.0002,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.755,0.01192,1.0,0.0,-0.22061,0.00605,-0.15184,0.00671,0.0,0.22012,,
"hard close, no cap",0.0025,2,0.33215,0.00655,1.0,0.0,0.0,0.0,0.0002,0.00028,0.0002,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16534,,
"ArtSphere: hard close, ladder cap 50",0.0025,4,0.34459,0.00162,0.87703,0.00426,0.0,0.0,0.00045,0.00029,0.0002,0.00039,0.0,0.0,0.0,0.0,0.9744,0.00438,1.0,0.0,-0.2525,0.00485,-0.1227,0.00425,0.0,0.08719,,
"hard close, no cap",0.0025,4,0.5971,0.00557,0.99973,0.00037,0.0,0.0,0.00045,0.00029,0.0006,0.00068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04967,,
