background,rule,pay_proxy,pay_proxy_ci,win_proxy,revenue_proxy,pay_incr,pay_incr_ci,win_incr,revenue_incr,pay_sniper,pay_sniper_ci,win_sniper,revenue_sniper,d_sniper_minus_proxy,d_sniper_minus_proxy_ci,d_incr_minus_proxy,d_incr_minus_proxy_ci
baseline mix,"ArtSphere: hard close, ladder cap 50",0.02659,0.0011,0.1794,0.68419,0.02226,0.00103,0.1442,0.66786,0.03958,0.00147,0.2011,0.64933,0.01299,0.0011,-0.00432,0.0006
baseline mix,"hard close, no cap",0.02637,0.0011,0.1781,0.68539,0.02226,0.00103,0.1442,0.66879,0.03963,0.00147,0.2028,0.65165,0.01326,0.00109,-0.00411,0.00059
baseline mix,soft close 1 min,0.02623,0.00109,0.1771,0.68769,0.02269,0.00104,0.1467,0.67286,0.03714,0.00141,0.1973,0.66085,0.01091,0.00101,-0.00354,0.00057
baseline mix,soft close 5 min,0.02622,0.00109,0.1771,0.69204,0.02449,0.00108,0.1582,0.68139,0.03102,0.00127,0.1768,0.67305,0.00479,0.00085,-0.00173,0.00051
baseline mix,soft close 30 min,0.02608,0.00109,0.1766,0.70147,0.0263,0.0011,0.175,0.69918,0.02181,0.00101,0.1454,0.69274,-0.00427,0.00053,0.00022,0.00024
baseline mix,"hard close, no cap, q = 0",0.0243,0.00104,0.1698,0.69394,0.01963,0.00096,0.1323,0.67715,0.04431,0.00151,0.2371,0.67171,0.02001,0.00096,-0.00466,0.00058
incremental-heavy,"ArtSphere: hard close, ladder cap 50",0.02566,0.00108,0.1756,0.67918,0.02478,0.00109,0.1555,0.66223,0.05974,0.00181,0.2675,0.61782,0.03407,0.00144,-0.00088,0.00061
incremental-heavy,"hard close, no cap",0.02553,0.00107,0.1749,0.6796,0.02478,0.00109,0.1555,0.66241,0.0597,0.00181,0.2686,0.61856,0.03417,0.00144,-0.00075,0.00061
incremental-heavy,soft close 1 min,0.02551,0.00107,0.1747,0.68108,0.02498,0.0011,0.1568,0.66492,0.05563,0.00174,0.2578,0.62713,0.03012,0.00137,-0.00054,0.00059
incremental-heavy,soft close 5 min,0.02547,0.00107,0.1747,0.68607,0.02594,0.00111,0.1628,0.67271,0.04142,0.0015,0.2114,0.64824,0.01595,0.00112,0.00047,0.00057
incremental-heavy,soft close 30 min,0.02523,0.00106,0.1736,0.70089,0.02601,0.00109,0.1726,0.69719,0.02174,0.001,0.1446,0.68856,-0.00349,0.00054,0.00078,0.00033
incremental-heavy,"hard close, no cap, q = 0",0.02447,0.00104,0.1706,0.68272,0.02304,0.00105,0.1479,0.6653,0.06941,0.00189,0.3226,0.63067,0.04494,0.00139,-0.00143,0.0006
proxy-heavy,"ArtSphere: hard close, ladder cap 50",0.02539,0.00107,0.1741,0.70515,0.02321,0.00103,0.1575,0.69929,0.02408,0.00109,0.151,0.6903,-0.0013,0.00066,-0.00218,0.00038
proxy-heavy,"hard close, no cap",0.02524,0.00106,0.1734,0.70593,0.02321,0.00103,0.1575,0.7001,0.02423,0.00109,0.1527,0.69217,-0.00101,0.00065,-0.00203,0.00037
proxy-heavy,soft close 1 min,0.02522,0.00106,0.1732,0.70626,0.0234,0.00103,0.1588,0.70101,0.02394,0.00108,0.1529,0.69422,-0.00127,0.00064,-0.00182,0.00036
proxy-heavy,soft close 5 min,0.02522,0.00106,0.1732,0.70674,0.02408,0.00105,0.1633,0.70286,0.02272,0.00104,0.1484,0.69599,-0.00249,0.00058,-0.00114,0.0003
proxy-heavy,soft close 30 min,0.02518,0.00106,0.1731,0.70778,0.02515,0.00106,0.1722,0.70699,0.02055,0.00097,0.1404,0.69927,-0.00464,0.00049,-3e-05,0.00015
proxy-heavy,"hard close, no cap, q = 0",0.02416,0.00103,0.1691,0.71062,0.02169,0.00099,0.1505,0.70413,0.02876,0.00116,0.1858,0.70586,0.0046,0.00047,-0.00247,0.00039
