model,pilot,rule,revenue,revenue_ci,efficiency,efficiency_ci,extension
qwen0.8b,True,hard,0.30209,0.00837,0.70571,0.00913,0.0
qwen0.8b,True,soft5,0.39571,0.00939,0.73118,0.00828,3.084
qwen0.8b,True,soft30,0.44281,0.01074,0.74307,0.00934,19.628
qwen2b,True,hard,0.73259,0.00656,0.81616,0.00834,0.0
qwen2b,True,soft5,0.75697,0.00642,0.80151,0.00815,2.146
qwen2b,True,soft30,0.7837,0.00642,0.80607,0.00814,17.015
qwen4b,False,hard,0.69443,0.00538,0.98836,0.00172,0.0
qwen4b,False,soft5,0.69968,0.00528,0.99183,0.00147,2.208
qwen4b,False,soft30,0.71129,0.00525,0.99117,0.00139,8.695
qwen9b,False,hard,0.69978,0.00516,0.99288,0.00139,0.0
qwen9b,False,soft5,0.69801,0.00523,0.99099,0.00158,3.374
qwen9b,False,soft30,0.70326,0.00518,0.99545,0.0011,11.866
qwen27b,False,hard,0.70105,0.00517,0.99412,0.00126,0.0
qwen27b,False,soft5,0.69348,0.00534,0.9898,0.00173,6.797
qwen27b,False,soft30,0.69085,0.00532,0.98697,0.0019,41.333
