model,pilot,rule,answers,pay_llm,pay_proxy,pay_sniper,d_llm_minus_proxy,d_llm_minus_proxy_ci,d_llm_minus_sniper,d_llm_minus_sniper_ci
qwen0.8b,True,hard,60,-0.00604,0.02337,0.03369,-0.0294,0.02045,-0.03973,0.02094
qwen0.8b,True,soft5,60,-0.00428,0.0231,0.02606,-0.02738,0.01821,-0.03034,0.01826
qwen0.8b,True,soft30,60,-0.00931,0.02256,0.01803,-0.03187,0.02426,-0.02734,0.02418
qwen2b,True,hard,60,-0.00701,0.02337,0.03369,-0.03037,0.03147,-0.0407,0.03092
qwen2b,True,soft5,60,-0.02108,0.0231,0.02606,-0.04418,0.03287,-0.04714,0.03272
qwen2b,True,soft30,60,-0.02631,0.02256,0.01803,-0.04887,0.03394,-0.04433,0.03425
qwen4b,False,hard,120,0.02618,0.02337,0.03369,0.00281,0.00133,-0.00751,0.00199
qwen4b,False,soft5,120,0.02362,0.0231,0.02606,0.00052,0.00057,-0.00244,0.0007
qwen4b,False,soft30,120,0.02105,0.02256,0.01803,-0.00151,0.00149,0.00302,0.00173
qwen9b,False,hard,120,0.02534,0.02337,0.03369,0.00197,0.00108,-0.00835,0.00198
qwen9b,False,soft5,120,0.02419,0.0231,0.02606,0.00109,0.00043,-0.00187,0.00051
qwen9b,False,soft30,120,0.02172,0.02256,0.01803,-0.00084,0.00054,0.00369,0.00117
qwen27b,False,hard,120,0.02528,0.02337,0.03369,0.00191,0.0011,-0.00841,0.00196
qwen27b,False,soft5,120,0.02469,0.0231,0.02606,0.0016,0.00048,-0.00136,0.00047
qwen27b,False,soft30,120,0.02009,0.02256,0.01803,-0.00247,0.00099,0.00207,0.0009
