model,pilot,rule,answers,valid,late_share,late_share_ci,bid_value_median,bid_value_q25,bid_value_q75,overbid_share,mean_tokens,mean_sec,p_late_vs_hard
qwen0.8b,True,hard,60,60,0.3667,0.1219,0.2703,0.1303,1.0,0.0667,20.4,1.29,
qwen0.8b,True,soft5,60,60,0.3667,0.1219,0.4762,0.1412,1.0,0.1667,21.2,1.38,1.0
qwen0.8b,True,soft30,60,60,0.4167,0.1247,0.4762,0.1639,1.0,0.15,21.0,1.13,0.709
qwen2b,True,hard,60,60,0.3833,0.123,1.0,1.0,1.0,0.2333,22.4,2.21,
qwen2b,True,soft5,60,60,0.2667,0.1119,1.0,1.0,1.0297,0.2833,22.4,1.92,0.242
qwen2b,True,soft30,60,60,0.3167,0.1177,1.0,1.0,1.0345,0.3,22.5,1.97,0.566
qwen4b,False,hard,120,120,0.3,0.082,1.0,1.0,1.0,0.1333,18.5,0.44,
qwen4b,False,soft5,120,120,0.225,0.0747,1.0,1.0,1.0,0.0833,18.2,0.44,0.24
qwen4b,False,soft30,120,120,0.1583,0.0653,1.0,1.0,1.0,0.1167,18.3,0.45,0.0135
qwen9b,False,hard,120,120,0.2,0.0716,1.0,1.0,1.0,0.0083,19.4,0.68,
qwen9b,False,soft5,120,120,0.3167,0.0832,1.0,1.0,1.0,0.0333,19.4,0.69,0.0547
qwen9b,False,soft30,120,120,0.2583,0.0783,1.0,1.0,1.0,0.0,19.7,0.7,0.357
qwen27b,False,hard,120,120,0.2417,0.0766,1.0,1.0,1.0,0.0,19.8,2.14,
qwen27b,False,soft5,120,120,0.6167,0.087,1.0,1.0,1.0,0.0,20.8,2.27,6.2e-09
qwen27b,False,soft30,120,120,0.5417,0.0892,1.0,1.0,1.0,0.0,20.4,2.24,3.02e-06
