rule,param,value,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,d_revenue_vs_hard,d_revenue_vs_hard_ci,d_efficiency_vs_hard,d_efficiency_vs_hard_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
"ArtSphere: hard close, ladder cap 50",q,0.0,0.67554,0.00476,0.98016,0.00208,0.0,0.0,0.06721,0.00329,0.2982,0.01268,0.2974,0.01267,0.0908,0.00797,0.0932,0.00806,1.0,0.0,0.0,0.0,0.0,0.0,-0.00122,0.00039,-0.00076,0.00032,0.0,0.02314,0.02099,0.04538
"hard close, no cap",q,0.0,0.67675,0.00478,0.98092,0.00206,0.0,0.0,0.06687,0.00328,0.2996,0.0127,0.2988,0.01269,0.0888,0.00789,0.0,0.0,1.0,0.0,0.00122,0.00039,0.00076,0.00032,0.0,0.0,0.0,0.0,0.0,0.02289,0.02099,0.04545
soft close 5 min,q,0.0,0.68796,0.00467,0.98806,0.00162,2.66876,0.10876,0.07245,0.00347,0.2604,0.01217,0.2598,0.01216,0.0502,0.00605,0.0,0.0,1.0,0.0,0.01242,0.00148,0.0079,0.0014,0.01121,0.00144,0.00714,0.00136,9.783,0.02287,0.02354,0.03635
"ArtSphere: hard close, ladder cap 50",q,0.1,0.67044,0.00483,0.97869,0.00215,0.0,0.0,0.06214,0.00317,0.2762,0.01239,0.2754,0.01238,0.0858,0.00776,0.093,0.00805,1.0,0.0,0.0,0.0,0.0,0.0,-0.00117,0.00038,-0.00077,0.00033,0.0,0.02416,0.02226,0.04408
"hard close, no cap",q,0.1,0.67162,0.00485,0.97946,0.00213,0.0,0.0,0.06173,0.00316,0.2774,0.01241,0.2766,0.0124,0.084,0.00769,0.0,0.0,1.0,0.0,0.00117,0.00038,0.00077,0.00033,0.0,0.0,0.0,0.0,0.0,0.02391,0.02226,0.0442
soft close 5 min,q,0.1,0.68352,0.00472,0.98629,0.00172,2.47649,0.10545,0.06765,0.00339,0.2444,0.01191,0.2438,0.0119,0.049,0.00598,0.0,0.0,1.0,0.0,0.01308,0.00153,0.0076,0.00138,0.01191,0.00149,0.00683,0.00134,9.74,0.02382,0.02454,0.03495
"ArtSphere: hard close, ladder cap 50",q,0.2,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
"hard close, no cap",q,0.2,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,q,0.2,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",q,0.4,0.65402,0.00509,0.96773,0.00269,0.0,0.0,0.04293,0.00264,0.1986,0.01106,0.198,0.01105,0.0738,0.00725,0.0914,0.00799,1.0,0.0,0.0,0.0,0.0,0.0,-0.00137,0.00042,-0.00081,0.00035,0.0,0.02734,0.02736,0.03375
